kept_transcripts	age<50&storm	ref	var
IMPG2	1	83	0
INPP5E	0	684	1
INPP5E	1	83	0
INVS	0	683	2
INVS	1	82	1
IQCB1	0	685	0
IQCB1	1	82	1
IRAK4	0	684	1
IRAK4	1	83	0
IRS1	0	681	4
IRS1	1	82	1
IRS2	0	683	2
IRS2	1	83	0
ITGA2	0	683	2
ITGA2	1	83	0
ITGA3	0	684	1
ITGA3	1	83	0
ITGA6	0	682	3
ITGA6	1	83	0
ITGA7	0	684	1
ITGA7	1	82	1
ITGAD	0	684	1
ITGAD	1	83	0
ITGAM	0	684	1
ITGAM	1	83	0
ITGB4	0	684	1
ITGB4	1	83	0
ITK	0	684	1
ITK	1	83	0
ITM2B	0	682	3
ITM2B	1	82	1
ITPA	0	683	2
ITPA	1	83	0
ITPR1	0	684	1
ITPR1	1	83	0
JAGN1	0	682	3
JAGN1	1	82	1
JAK3	0	683	2
JAK3	1	83	0
JAM3	0	684	1
JAM3	1	83	0
KANK1	0	685	0
KANK1	1	83	0
KATNAL2	0	631	54
KATNAL2	1	77	6
KCNA5	0	685	0
KCNA5	1	82	1
KCNH2	0	680	5
KCNH2	1	83	0
KCNQ1	0	684	1
KCNQ1	1	83	0
KCNV2	0	683	2
KCNV2	1	83	0
KIF14	0	684	1
KIF14	1	83	0
KIF1C	0	685	0
KIF1C	1	83	0
KIF21A	0	677	8
KIF21A	1	83	0
KIF7	0	684	1
KIF7	1	83	0
KISS1	0	684	1
KISS1	1	83	0
KISS1R	0	684	1
KISS1R	1	83	0
KITLG	0	684	1
KITLG	1	83	0
KL	0	684	1
KL	1	82	1
KLF11	0	684	1
KLF11	1	83	0
KLHL41	0	682	3
KLHL41	1	83	0
KPTN	0	684	1
KPTN	1	83	0
KRT16P3	0	655	30
KRT16P3	1	79	4
KRT17	0	684	1
KRT17	1	83	0
KRT3	0	684	1
KRT3	1	83	0
KRT4	0	684	1
KRT4	1	83	0
KRT6A	0	684	1
KRT6A	1	83	0
KRT74	0	684	1
KRT74	1	83	0
KRT75	0	684	1
KRT75	1	83	0
KRT83	0	674	11
KRT83	1	81	2
LAMA1	0	684	1
LAMA1	1	83	0
LAMA2	0	667	18
LAMA2	1	81	2
LAMA3	0	685	0
LAMA3	1	82	1
LAMA4	0	685	0
LAMA4	1	82	1
LAMB1	0	684	1
LAMB1	1	83	0
LAMB3	0	681	4
LAMB3	1	83	0
LAMC3	0	683	2
LAMC3	1	82	1
LARGE1	0	685	0
LARGE1	1	82	1
LARP7	0	684	1
LARP7	1	82	1
LCA5	0	684	1
LCA5	1	82	1
LCAT	0	684	1
LCAT	1	83	0
LDB3	0	671	14
LDB3	1	81	2
LEFTY1	0	685	0
LEFTY1	1	82	1
LGI1	0	682	3
LGI1	1	82	1
LHCGR	0	684	1
LHCGR	1	83	0
LIAS	0	684	1
LIAS	1	83	0
LIG4	0	685	0
LIG4	1	83	0
LIPA	0	685	0
LIPA	1	82	1
LIPC	0	683	2
LIPC	1	83	0
LIPN	0	684	1
LIPN	1	82	1
LMBRD1	0	684	1
LMBRD1	1	83	0
LOXHD1	0	662	23
LOXHD1	1	78	5
